appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
267340,Beware Planet Earth,2014-04-11,1,Lightmare Studio,BANDAI NAMCO Entertainement,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Tower Defense;Strategy;Indie,33,177,80,0,0,50000-100000,6.99
202310,Ridge Racer™ Unbounded,2012-03-29,1,BUGBEAR,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Partial Controller Support,Racing,Racing;Arcade;Destruction,50,541,450,0,0,100000-200000,7.99
226780,MUD Motocross World Championship,2013-03-15,1,Milestone S.r.l.,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud,Racing;Sports,Motocross;Racing;Motorbike,50,42,44,0,0,20000-50000,7.99
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,2013-10-24,1,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure,Anime;Fighting;Action,54,8209,882,1360,2404,500000-1000000,14.99
236450,PAC-MAN™ Championship Edition DX+,2013-09-24,1,"Mine Loader Software Co., Ltd.",BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action,Arcade;Retro;Classic,12,5988,291,67,73,200000-500000,7.99
236470,PAC-MAN MUSEUM™,2014-02-25,1,BANDAI NAMCO Studio Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action,Arcade;Classic;Retro,12,120,80,0,0,20000-50000,14.99
236490,Hexodius,2013-06-21,1,Brain Slap Studio,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Twin Stick Shooter,20,18,12,9,9,0-20000,7.99
239720,PAC-MAN™ and the Ghostly Adventures,2014-03-06,1,NAMCO BANDAI Games,BANDAI NAMCO Entertainment,windows,0,Single-player;Shared/Split Screen;Steam Achievements,Action,Action;Platformer;3D Platformer,25,126,33,0,0,0-20000,29.99
245280,ENSLAVED™: Odyssey to the West™ Premium Edition,2013-10-24,1,Ninja Theory,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Adventure;Action;Post-apocalyptic,58,3677,650,185,262,200000-500000,14.99
264540,Platformines,2014-03-28,1,Magiko Gaming,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie,Action;Platformer;Indie,20,189,95,679,679,100000-200000,6.99
272510,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,2014-09-15,1,"CyberConnect2 Co., Ltd.",BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Adventure,Anime;Fighting;Ninja,50,4152,995,969,1434,200000-500000,19.99
284460,DeadCore,2014-10-17,1,5 Bits Games,BANDAI NAMCO Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Indie,Platformer;Action;FPS,29,1465,247,0,0,100000-200000,7.99
299950,GET EVEN,2017-06-20,1,The Farm 51,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Action;Mystery;Psychological Horror,40,605,156,0,0,20000-50000,24.99
317060,Attractio,2016-01-18,1,GameCoder Studios,Bandai Namco Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats,Action,Action;FPS;Puzzle-Platformer,18,52,64,0,0,20000-50000,14.99
323470,DRAGON BALL XENOVERSE,2015-02-26,1,DIMPS,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Anime;Fighting;Action,50,12601,1680,2575,2530,500000-1000000,31.99
331600,One Piece Pirate Warriors 3,2015-08-27,1,"KOEI TECMO GAMES CO., LTD.",BANDAI NAMCO Entertainment,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support,Action,Anime;Action;Adventure,40,4456,962,311,440,200000-500000,31.99
348710,Saint Seiya: Soldiers' Soul,2015-11-24,1,DIMPS,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Anime;Fighting;Action,50,1588,152,0,0,50000-100000,39.99
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,2016-02-04,1,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Adventure,Anime;Fighting;Action,53,17336,3456,767,635,1000000-2000000,24.99
351970,Tales of Zestiria,2015-10-19,1,BANDAI NAMCO Studio Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,JRPG;Anime;RPG,56,5300,972,1445,1495,500000-1000000,39.99
372360,Tales of Symphonia,2016-02-01,1,BANDAI NAMCO Entertainment Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,JRPG;RPG;Anime,39,1911,436,223,235,200000-500000,14.99
378860,Project CARS 2,2017-09-21,1,Slightly Mad Studios,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Cloud;Steam Leaderboards,Racing,Racing;Driving;Simulation,47,4190,1747,121,169,200000-500000,44.99
389730,TEKKEN 7,2017-06-01,1,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Sports,Fighting;Action;Multiplayer,42,15372,3135,4367,7210,500000-1000000,34.99
394160,ARCADE GAME SERIES: PAC-MAN,2016-04-19,1,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action,Action;Arcade;Classic,20,250,48,21,21,50000-100000,2.79
403400,ARCADE GAME SERIES: DIG DUG,2016-04-19,1,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action,Action;Arcade;Classic,20,166,41,2,2,50000-100000,2.79
403410,ARCADE GAME SERIES: Ms. PAC-MAN,2016-04-19,1,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action,Action;Arcade;Retro,20,58,18,0,0,20000-50000,2.79
403430,ARCADE GAME SERIES: GALAGA,2016-04-19,1,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action,Action;Arcade;Retro,20,267,46,3,3,50000-100000,2.79
424840,Little Nightmares,2017-04-27,1,Tarsier Studios,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure,Horror;Adventure;Atmospheric,22,7568,980,90,90,500000-1000000,15.99
425220,One Piece Burning Blood,2016-09-01,1,"Spike Chunsoft Co., Ltd.",BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards;Steam Turn Notifications,Action,Anime;Action;Fighting,50,1504,496,453,595,100000-200000,39.99
429660,Tales of Berseria™,2017-01-26,1,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;RPG,Anime;JRPG;RPG,51,7427,536,2398,2878,200000-500000,39.99
438490,GOD EATER 2 Rage Burst,2016-08-29,1,BANDAI NAMCO Studio;SHIFT;QLOC,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;RPG,Anime;Action;Character Customization,47,2576,738,942,657,200000-500000,39.99
441380,PAC-MAN™ CHAMPIONSHIP EDITION 2,2016-09-13,1,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Casual,Casual;Arcade;Great Soundtrack,18,196,144,27,27,50000-100000,9.99
454650,DRAGON BALL XENOVERSE 2,2016-10-27,1,QLOC;DIMPS,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual;Massively Multiplayer,Anime;Fighting;Action,61,9531,2495,3194,3175,200000-500000,39.99
455400,PAC-MAN 256,2016-06-21,1,BANDAI NAMCO Studios Vancouver;Hipster Whale;3 Sprockets,BANDAI NAMCO Entertainment,windows;mac;linux,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Action;Arcade;Casual,10,811,81,54,86,100000-200000,3.99
468000,Impact Winter,2017-05-22,1,Mojo Bones,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Adventure;Indie;Simulation,Adventure;Indie;Simulation,24,115,164,212,212,0-20000,15.99
495140,NARUTO: Ultimate Ninja STORM,2017-08-25,1,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,windows,0,Single-player;Local Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure,Action;Adventure;Anime,50,469,314,0,0,100000-200000,14.99
502500,ACE COMBAT™ 7: SKIES UNKNOWN,2019-01-31,1,BANDAI NAMCO Studios,BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Simulation,Flight;Action;Story Rich,49,4643,1623,1029,1029,200000-500000,49.99
525480,.hack//G.U. Last Recode,2017-11-03,1,CyberConnect2,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,RPG,RPG;Anime;JRPG,52,1138,159,85,85,50000-100000,39.99
543870,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,2017-08-25,1,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,windows,0,Single-player;Local Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Strategy,Action;Adventure;Anime,50,323,78,3,3,20000-50000,14.99
544750,SOULCALIBUR VI,2018-10-18,1,BANDAI NAMCO Studios;Dimps Corporation,BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud,Action,Fighting;Character Customization;Action,49,2992,676,184,305,100000-200000,49.99
571720,One Piece: Unlimited World Red - Deluxe Edition,2017-08-25,1,Ganbarion,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Adventure,Adventure;Action;Anime,56,69,37,0,0,0-20000,29.99
